epoch,accuracy,loss,val_accuracy,val_loss
0,0.4633268713951111,1.2019308805465698,0.5187320113182068,1.1841784715652466
1,0.6404649615287781,0.8851154446601868,0.5244956612586975,1.116866111755371
2,0.7154719233512878,0.7031054496765137,0.5734870433807373,1.1484602689743042
3,0.7835593819618225,0.5686095356941223,0.5561959743499756,1.1673170328140259
4,0.8272903561592102,0.46158021688461304,0.5504322648048401,1.279289722442627
5,0.8552449345588684,0.39110901951789856,0.5619596838951111,1.350846529006958
6,0.8854137659072876,0.324955016374588,0.559077799320221,1.5235064029693604
7,0.9078328013420105,0.26602116227149963,0.530259370803833,1.7024601697921753
8,0.9258233904838562,0.22316397726535797,0.5878962278366089,1.612492322921753
9,0.922225296497345,0.22316589951515198,0.579250693321228,1.6540935039520264
10,0.9432604312896729,0.16834570467472076,0.559077799320221,1.7280924320220947
11,0.9454746842384338,0.15536759793758392,0.559077799320221,1.8270174264907837
12,0.9504566788673401,0.14525145292282104,0.5504322648048401,1.9082157611846924
13,0.9604207277297974,0.11326717585325241,0.5677233338356018,2.045964479446411
14,0.9587600231170654,0.1218993216753006,0.5936599373817444,1.8681424856185913
15,0.9648491740226746,0.10605452209711075,0.5734870433807373,2.0300068855285645
16,0.9631884694099426,0.10158545523881912,0.5821325778961182,2.149517059326172
17,0.9690008163452148,0.09444254636764526,0.579250693321228,2.1092567443847656
18,0.9778577089309692,0.07489941269159317,0.5734870433807373,2.3014423847198486
19,0.952117383480072,0.12255202233791351,0.5878962278366089,2.266101598739624
20,0.9562690258026123,0.12582968175411224,0.5648415088653564,2.0807230472564697
21,0.9698311686515808,0.08470427989959717,0.5504322648048401,2.2641892433166504
22,0.9695543646812439,0.08698481321334839,0.5677233338356018,2.1059694290161133
23,0.9634652733802795,0.0925203338265419,0.5331411957740784,2.4812161922454834
24,0.9759202599525452,0.07124997675418854,0.5734870433807373,2.3187015056610107
