epoch,accuracy,loss,val_accuracy,val_loss
0,0.37226682901382446,1.314897060394287,0.455331414937973,1.2421369552612305
1,0.6628840565681458,0.962772011756897,0.6570605039596558,0.9159023761749268
2,0.793523371219635,0.5757054090499878,0.6743515729904175,0.7935193181037903
3,0.8402988910675049,0.4185998737812042,0.6974063515663147,0.7738626599311829
4,0.8851370215415955,0.3300119638442993,0.6714697480201721,0.8304446935653687
5,0.9086631536483765,0.26977798342704773,0.6657060384750366,0.8772786259651184
6,0.924993097782135,0.22265556454658508,0.6743515729904175,0.9486731290817261
7,0.9349570870399475,0.19370009005069733,0.6743515729904175,0.9878178834915161
8,0.9482424855232239,0.16332857310771942,0.651296854019165,1.034274935722351
9,0.9554386734962463,0.14181864261627197,0.651296854019165,1.1074585914611816
10,0.9665098190307617,0.12031057476997375,0.6743515729904175,1.1960780620574951
11,0.9645723700523376,0.1152016818523407,0.6657060384750366,1.1829725503921509
12,0.9684472680091858,0.10489635914564133,0.6484149694442749,1.2392622232437134
13,0.9709382653236389,0.0970253199338913,0.6570605039596558,1.2855433225631714
14,0.9717686176300049,0.09289561212062836,0.6599423885345459,1.3070716857910156
15,0.973429262638092,0.08761174231767654,0.639769434928894,1.3960002660751343
16,0.9717686176300049,0.08839517086744308,0.651296854019165,1.4480465650558472
17,0.976473867893219,0.07983915507793427,0.6628242135047913,1.466287612915039
18,0.975643515586853,0.07847926020622253,0.6570605039596558,1.457451581954956
19,0.9773041605949402,0.07376205921173096,0.6541786789894104,1.4698246717453003
20,0.975643515586853,0.06993308663368225,0.6455331444740295,1.504509449005127
21,0.973429262638092,0.07498076558113098,0.639769434928894,1.5430946350097656
22,0.9761970639228821,0.06297413259744644,0.639769434928894,1.58334219455719
23,0.9773041605949402,0.0646292194724083,0.6484149694442749,1.5832922458648682
24,0.975089967250824,0.0662078708410263,0.6541786789894104,1.637731671333313
